type	latitude	longitude	name	desc	url
W	55.906388890	12.413333330	ESK531	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.908055560	12.430833330	ESK531	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.562222220	12.566388890	ESK532	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.578611110	12.558888890	ESK532	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.325833330	12.448888890	ESK533	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.313333330	12.409722220	ESK533	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	55.592500000	12.143611110	ESK534	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.398055560	-149.865277780	Bay-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.405833330	-149.884444440	Bay-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.155000000	-150.055833330	Point-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.158611110	-150.035277780	Point-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.258055560	-149.528333330	Summit-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	61.247777780	-149.548333330	Summit-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.534444440	-146.993055560	Jig-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.527222220	-146.964166670	Jig-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.983888890	-147.885555560	Love-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.983333330	-147.854444440	Love-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.581944440	-146.751111110	Mike-CS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
W	64.586944440	-146.729166670	Mike-LS	List of Nike missile sites	https://en.wikipedia.org/wiki/List_of_Nike_missile_sites
