type	latitude	longitude	name	desc
W	55.906388889	12.413333333	ESK531	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.908055556	12.430833333	ESK531	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.562222222	12.566388889	ESK532	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.578611111	12.558888889	ESK532	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.325833333	12.448888889	ESK533	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.313333333	12.409722222	ESK533	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.588888889	12.169722222	ESK534	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	55.592500000	12.143611111	ESK534	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Denmark">List of Nike missile sites</a>
W	61.398055556	-149.865277778	Bay-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Alaska">List of Nike missile sites</a>
W	61.405833333	-149.884444444	Bay-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Alaska">List of Nike missile sites</a>
W	61.155000000	-150.055833333	Point-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Alaska">List of Nike missile sites</a>
W	61.158611111	-150.035277778	Point-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#Alaska">List of Nike missile sites</a>
W	61.258055556	-149.528333333	Summit-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	61.247777778	-149.548333333	Summit-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.534444444	-146.993055556	Jig-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.527222222	-146.964166667	Jig-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.983888889	-147.885555556	Love-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.983333333	-147.854444444	Love-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.581944444	-146.751111111	Mike-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.586944444	-146.729166667	Mike-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.665277778	-146.741111111	Peter-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.674166667	-146.750833333	Peter-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.793611111	-147.188611111	Tare-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	64.757777778	-147.218888889	Tare-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-8">List of Nike missile sites</a>
W	34.375555556	-118.175833333	LA-04-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-mtgleas_11-0">List of Nike missile sites</a>
W	34.378055556	-118.150833333	LA-04-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-mtgleas_11-0">List of Nike missile sites</a>
W	34.246666667	-118.104722222	LA-09-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.278333333	-118.075555556	LA-09-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.018055556	-118.038055556	LA-14-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.043611111	-118.058888889	LA-14-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.955277778	-117.895555556	LA-29-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.959444444	-117.886111111	LA-29-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.790833333	-118.011944444	LA-32-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.792222222	-118.002777778	LA-32-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.808888889	-118.135555556	LA-40-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.808888889	-118.140555556	LA-40-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.711944444	-118.295833333	LA-43-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.716666667	-118.314166667	LA-43-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.757500000	-118.368333333	LA-55-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.745000000	-118.405000000	LA-55-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.829166667	-118.374166667	LA-57-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.946666667	-118.371666667	LA-70-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.952222222	-118.438333333	LA-70-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	33.959166667	-118.433055556	LA-73-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.078055556	-118.655555556	LA-78-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.059722222	-118.646111111	LA-78-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.326388889	-118.586944444	LA-88-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.311388889	-118.608611111	LA-88-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.352500000	-118.411111111	LA-94-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.348611111	-118.408055556	LA-94-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.128611111	-118.512777778	LA-96-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.185000000	-118.482222222	LA-96-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-barflats_12-0">List of Nike missile sites</a>
W	34.386388889	-118.329166667	LA-98-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	34.431388889	-118.375555556	LA-98-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.948888889	-122.291111111	SF-08/09-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.925000000	-122.262222222	SF-08/09-LS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
W	37.815833333	-122.062222222	SF-25-CS	<br>Source: Wikipedia article <a href="https://en.wikipedia.org/wiki/List_of_Nike_missile_sites#cite_ref-lang_14-0">List of Nike missile sites</a>
