type,latitude,longitude,name
W,55.90638889,12.41333333,ESK531
W,55.90805556,12.43083333,ESK531
W,55.56222222,12.56638889,ESK532
W,55.57861111,12.55888889,ESK532
W,55.32583333,12.44888889,ESK533
W,55.31333333,12.40972222,ESK533
W,55.58888889,12.16972222,ESK534
W,55.5925,12.14361111,ESK534
W,61.39805556,-149.8652778,Bay-CS
W,61.40583333,-149.8844444,Bay-LS
W,61.155,-150.0558333,Point-CS
W,61.15861111,-150.0352778,Point-LS
W,61.25805556,-149.5283333,Summit-CS
W,61.24777778,-149.5483333,Summit-LS
W,64.53444444,-146.9930556,Jig-CS
W,64.52722222,-146.9641667,Jig-LS
W,64.98388889,-147.8855556,Love-CS
W,64.98333333,-147.8544444,Love-LS
W,64.58194444,-146.7511111,Mike-CS
W,64.58694444,-146.7291667,Mike-LS
W,64.66527778,-146.7411111,Peter-CS
W,64.67416667,-146.7508333,Peter-LS
W,64.79361111,-147.1886111,Tare-CS
W,64.75777778,-147.2188889,Tare-LS
W,34.37555556,-118.1758333,LA-04-LS
W,34.37805556,-118.1508333,LA-04-LS
W,34.24666667,-118.1047222,LA-09-CS
W,34.27833333,-118.0755556,LA-09-LS
W,34.01805556,-118.0380556,LA-14-CS
W,34.04361111,-118.0588889,LA-14-LS
W,33.95527778,-117.8955556,LA-29-CS
W,33.95944444,-117.8861111,LA-29-LS
W,33.79083333,-118.0119444,LA-32-CS
W,33.79222222,-118.0027778,LA-32-LS
W,33.80888889,-118.1355556,LA-40-CS
W,33.80888889,-118.1405556,LA-40-LS
W,33.71194444,-118.2958333,LA-43-CS
W,33.71666667,-118.3141667,LA-43-LS
W,33.7575,-118.3683333,LA-55-CS
W,33.745,-118.405,LA-55-LS
W,33.82916667,-118.3741667,LA-57-CS
W,33.94666667,-118.3716667,LA-70-CS
W,33.95222222,-118.4383333,LA-70-LS
W,33.95916667,-118.4330556,LA-73-CS
W,34.07805556,-118.6555556,LA-78-CS
W,34.05972222,-118.6461111,LA-78-LS
W,34.32638889,-118.5869444,LA-88-CS
W,34.31138889,-118.6086111,LA-88-LS
W,34.3525,-118.4111111,LA-94-LS
W,34.34861111,-118.4080556,LA-94-LS
W,34.12861111,-118.5127778,LA-96-CS
W,34.185,-118.4822222,LA-96-LS
W,34.38638889,-118.3291667,LA-98-CS
W,34.43138889,-118.3755556,LA-98-LS
W,37.94888889,-122.2911111,SF-08/09-CS
W,37.925,-122.2622222,SF-08/09-LS
W,37.81583333,-122.0622222,SF-25-CS
W,37.8125,-122.0425,SF-25-LS
W,37.72361111,-122.1188889,SF-31-CS
W,37.72152778,-122.0989444,SF-31-LS
W,37.54,-122.0841667,SF-37-CS
W,37.55888889,-122.0961111,SF-37-LS
W,37.61333333,-122.4588889,SF-51-CS
W,37.63944444,-122.4788889,SF-51-LS
W,37.69222222,-122.4477778,SF-59-CS
W,37.71472222,-122.5016667,SF-59-LS
W,37.8275,-122.4988889,SF-87-CS
W,37.835,-122.5308333,SF-87-LS
W,37.84222222,-122.5319444,SF-88-CS
W,37.82666667,-122.5275,SF-88-LS
W,37.75777778,-122.4577778,SF-89-CS
W,37.79222222,-122.4733333,SF-89-LS
W,37.86138889,-122.4305556,SF-91-CS
W,37.85638889,-122.4225,SF-91-LS
W,37.99777778,-122.5025,SF-93-CS
W,38.02388889,-122.5208333,SF-93-LS
W,38.31611111,-121.8711111,T-10-CS
W,38.31722222,-121.8936111,T-10-LS
W,38.21861111,-121.8475,T-33-CS
W,38.22194444,-121.8572222,T-33-LS
W,38.20888889,-121.9419444,T-53-CS
W,38.20277778,-121.9355556,T-53-LS
W,38.29916667,-121.9991667,T-86-CS
W,38.27611111,-122.0022222,T-86-LS
W,41.33972222,-73.045,BR-04-CS
W,41.35055556,-73.04888889,BR-04-LS
W,41.26777778,-72.99194444,BR-15-LS
W,41.27166667,-72.97972222,BR-15-LS
W,41.22805556,-73.01583333,BR-17-CS
W,41.24,-73.00472222,BR-17-LS
W,41.12833333,-73.25027778,BR-65-CS
W,41.12472222,-73.26333333,BR-65-LS
W,41.17111111,-73.32861111,BR-73-CS
W,41.15972222,-73.33,BR-73-LS
W,41.32777778,-73.18361111,BR-94-CS
W,41.30805556,-73.1725,BR-94-LS
W,41.87,-72.59416667,HA-08-CS
W,41.89166667,-72.60277778,HA-08-LS
W,41.75138889,-72.53388889,HA-25-CS
W,41.73888889,-72.51583333,HA-25-LS
W,41.63833333,-72.545,HA-36-CS
W,41.63166667,-72.56222222,HA-36-LS
W,41.60611111,-72.69138889,HA-48-CS
W,41.58138889,-72.68583333,HA-48-LS
W,41.68,-72.82277778,HA-67-CS
W,41.70222222,-72.85361111,HA-67-LS
W,41.81083333,-72.79861111,HA-85-CS
W,41.8275,-72.83,HA-85-LS
W,25.62333333,-80.40444444,HM-101DC
W,25.93944444,-80.29888889,HM-01/03-CS
W,25.96166667,-80.30333333,HM-01/03-LS
W,25.27638889,-80.30305556,HM-40-CS
W,25.26166667,-80.31388889,HM-40-LS
W,25.36194444,-80.56166667,HM-65/66-CS
W,25.36055556,-80.5525,HM-65/66-LS
W,25.38805556,-80.68305556,HM-69-CS
W,25.37,-80.68444444,HM-69-LS
W,25.7375,-80.48166667,HM-95-CS
W,25.75027778,-80.48944444,HM-95-LS
W,32.67444444,-83.76527778,R-88-CS
W,32.67222222,-83.78583333,R-88-LS
W,32.62472222,-83.36472222,R-28-CS
W,32.62833333,-83.35138889,R-28-LS
W,31.63333333,-84.25666667,TU-79-LS
W,31.63055556,-84.27833333,TU-79-LS
W,31.55444444,-83.91555556,TU-28-LS
W,31.55638889,-83.905,TU-28-LS
W,21.66694444,-157.9997222,OA-17-CS
W,21.66444444,-157.9819444,OA-17-LS
W,21.32027778,-157.6816667,OA-32-CS
W,21.34861111,-157.7075,OA-32-LS
W,21.38611111,-158.1052778,OA-63-CS-1
W,21.37722222,-158.1119444,OA-63-CS-2
W,21.36416667,-158.1125,OA-63-LS
W,21.54583333,-158.1947222,OA-84-CS
W,21.57694444,-158.195,OA-84-LS
W,41.96416667,-87.63527778,C-03-CS
W,41.93833333,-87.63416667,C-03-LS
W,41.63055556,-87.08777778,C-32-CS
W,41.63194444,-87.07444444,C-32-LS
W,41.83777778,-87.60666667,C-40-CS
W,41.84833333,-87.61222222,C-40-LS
W,41.796134,-87.575549,C-41-CS
W,41.784142,-87.580163,C-41-LS
W,41.6575,-87.53194444,C-44-CS
W,41.67611111,-87.52777778,C-44-LS
W,41.62333333,-87.41722222,C-45-CS
W,41.62444444,-87.41194444,C-45-LS
W,41.54472222,-87.50805556,C-46-CS
W,41.52777778,-87.51472222,C-46-LS
W,41.52361111,-87.17694444,C-47-CS
W,41.53305556,-87.16694444,C-47-LS
W,41.55722222,-87.35444444,C-48-CS
W,41.55555556,-87.35805556,C-48-LS
W,41.55055556,-87.6475,C-49/50-CS
W,41.54333333,-87.63691667,C-49/50-LS
W,41.66388889,-87.75194444,C-51-CS
W,41.67138889,-87.77305556,C-51-LS
W,41.61111111,-87.86888889,C-54-CS
W,41.60583333,-87.85805556,C-53-CS
W,41.72222222,-87.96388889,C-61-CS
W,41.72833333,-87.97666667,C-61-LS
W,41.81,-88.14722222,C-70-CS
W,41.79888889,-88.15194444,C-70-LS
W,41.92333333,-88.02944444,C-72-CS
W,41.91361111,-88.01638889,C-72-LS
W,42.05305556,-87.99444444,C-80/81-CS
W,42.06361111,-87.99777778,C-80/81-LS
W,42.15472222,-88.04694444,C-84-CS
W,42.15722222,-88.05833333,C-84-LS
W,42.22055556,-87.95305556,C-92/94-CS
W,42.22555556,-87.95722222,C-92-LS
W,42.2254,-87.9482,C-94-LS
W,42.12027778,-87.76916667,C-93-CS
W,42.12666667,-87.78222222,C-93-LS
W,42.22444444,-87.82388889,C-98-CS
W,42.22305556,-87.82277778,C-98-LS
W,38.98305556,-97.61527778,SC-01-CS
W,39.00555556,-97.60888889,SC-01-LS
W,38.66694444,-97.68694444,SC-50-CS
W,38.64861111,-97.71833333,SC-50-LS
W,32.67194444,-93.52166667,BD-10-CS
W,32.67444444,-93.50972222,BD-10-LS
W,32.30333333,-93.78444444,BD-50-CS
W,32.29361111,-93.78777778,BD-50-LS
W,47.03527778,-67.81833333,L-13-CS
W,47.02833333,-67.80944444,L-13-LS
W,46.92694444,-67.79638889,L-31-CS
W,46.9175,-67.79194444,L-31-LS
W,46.88611111,-67.97027778,L-58-CS
W,46.88388889,-68.00916667,L-58-LS
W,47.00138889,-68.00305556,L-85-CS
W,47.00833333,-68.01833333,L-85-LS
W,39.50861111,-76.57944444,BA-03-CS
W,39.51638889,-76.56972222,BA-03-LS
W,39.44861111,-76.46138889,BA-09-CS
W,39.44694444,-76.44777778,BA-09-LS
W,39.41527778,-76.27277778,BA-18-CS
W,39.42416667,-76.26611111,BA-18-LS
W,39.21361111,-76.23166667,BA-30/31-CS
W,39.20388889,-76.23666667,BA-30/31-LS
W,39.13694444,-76.49694444,BA-43-CS
W,39.12861111,-76.49666667,BA-43-LS
W,39.34583333,-76.85638889,BA-79-CS
W,39.35527778,-76.85055556,BA-79-LS
W,39.45666667,-76.72888889,BA-92-CS
W,39.44111111,-76.71388889,BA-92-LS
W,38.90333333,-76.65194444,W-25-CS
W,38.9025,-76.64111111,W-25-LS
W,39.02833333,-76.45,W-26-CS
W,39.0275,-76.42833333,W-26-LS
W,38.77472222,-76.74472222,W-35-CS
W,38.76972222,-76.73083333,W-35-LS
W,38.71055556,-76.77055556,W-36-CS
W,38.70694444,-76.76055556,W-36-LS
W,38.6525,-76.86861111,W-44-CS
W,38.65472222,-76.85555556,W-44-LS
W,38.6425,-77.0125,W-45-CS
W,38.64361111,-77.01527778,W-45-LS
W,38.72083333,-77.24472222,W-64-CS
W,38.70888889,-77.25277778,W-64-LS
W,38.81555556,-77.34305556,W-74-CS
W,38.81388889,-77.35583333,W-74-LS
W,38.99527778,-77.3125,W-83-CS
W,38.99166667,-77.32888889,W-83-CS
W,39.10638889,-77.22305556,W-92-CS
W,39.11694444,-77.21972222,W-92-LS
W,39.21027778,-77.09,W-93-CS
W,39.20916667,-77.10555556,W-93-LS
W,39.1605,-77.17594444,W-94-CS
W,39.18086111,-77.17652778,W-94-CS
W,42.50722222,-71.09805556,B-03-CS
W,42.54111111,-71.08472222,B-03-LS
W,42.58833333,-70.94527778,B-05-CS
W,42.60777778,-70.94916667,B-05-LS
W,42.57972222,-70.87611111,B-15-CS
W,42.58916667,-70.91138889,B-15-LS
W,42.41916667,-70.92944444,B-17-CS
W,42.41805556,-70.90388889,B-17-LS
W,42.30027778,-70.89611111,B-36-CS
W,42.30166667,-70.89722222,B-36-LS
W,42.30333333,-71.01138889,B-37-CS
W,42.31694444,-70.9675,B-37-LS
W,42.23972222,-70.85222222,B-38-CS
W,42.23722222,-70.83055556,B-38-LS
W,42.22222222,-71.06166667,B-55-CS
W,42.2,-71.0725,B-55-LS
W,42.29055556,-71.25472222,B-63-CS
W,42.27222222,-71.27277778,B-63-LS
W,42.40805556,-71.33222222,B-73-CS
W,42.40972222,-71.36027778,B-73-LS
W,42.49010556,-71.17763611,B-84-CS
W,42.47805556,-71.19166667,B-84-LS
W,42.49138889,-71.30361111,B-85-CS
W,42.50777778,-71.29472222,B-85-LS
W,42.64361111,-83.05916667,D-06-CS
W,42.65027778,-83.06833333,D-06-LS
W,42.59861111,-82.81777778,D-14-CS
W,42.59583333,-82.84861111,D-14-LS
W,42.59916667,-82.83055556,D-16-LS
