NAME (ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,,,,,,,,,,
Greem Bell,SUMAT (Waypoint),at,Ostrov Greem-Bell,Arkhangelskaya,RU,0,,,,M,,81,10.0,N,64,35.0,E,C,30,T,,,,,81.1667,64.5833,39.7,2125,?,T,15,,?,,,,,,,,,,,MIL,OGA,,,"Greem Bell is the northernmost airfield in the world that regularly handles jet aircraft.  It operates under the authority of OGA (Arctic Control Group).  It appears to have been constructed in the late 1950s to guard the north approaches to Novaya Zemlya against reconnaissance flights, or as a front-line interceptor base for incoming American bombers.  Four Tu-128 long-range interceptors belonging to 72 GV AP (from Amderma) were based here in 1979.",,,,,,,,,,
Severniy Polyus-6,"SP-6, North Pole-6",at,East Siberian Sea,,RU,,,,,A,,81,15.0,N,147,42.0,E,,39,,,,,,81.2500,147.7000,,500,,,,,ICE,,,,,,,,,,,,,,,"North Pole-6 was opened April 1956 at 74 27'N 177 04'E to create a bomber staging airfield on a very large ice floe measuring 15 x 20 km and 15 m thick.  It was serviced by Tu-4, Il-12, Li-2, An-2, and Mi-4 from Tiksi.  By April 1957 it had drifted to 75 37'N 171 04'E.  A Tu-16A was lost during landing and abandoned 26 April 1958.  In April 1958 SP-6 was at 80 56'N 150 15'E.  Tu-4 aircraft continued to land in April 1959.  In April 1959 SP-6 was at 87 18'N 39 37'E.  Position given here is as of 1958 at time of the Tu-16 crash.  Research was done here as part of IGY (International Geophysics Year).  The site closed September 14, 1959, at which time the site position was 82 06'N 3 56'E.",,,,,,,,,,
Nagurskoye,,at,Zemlya Aleksandr,Arkhangelskaya,RU,0,UODN,,,M,,80,48.1,N,47,40.1,E,C,65,C,59,T,,,80.8017,47.6683,29.7,1400,35,C,122,10/28,DIRT,,,,,,,,,,,MIL,OGA,,,"This airfield operates under OGA (Arctic Control Group).  It is an extremely remote arctic base in the western Franz Josef Islands, located 820 km W of Sredniy airfield.  It was built in the 1950s as a staging base for Soviet bombers to reach the U.S.  An An-72 cargo plane crashed here 23 Dec 1996 while attempting to land, perhaps one of the northernmost plane crashes ever.  Services Mi-8, Mi-26, An-72, and An-26 aircraft.",,,,,,,,,,
Sredniy Ostrov,,at,Ostrov Sredniy,Taymirskaya,RU,0,UODS,,C,M,,79,31.7,N,91,4.5,E,T,26,C,,,,,79.5283,91.0750,37.8,3000,?,O,115,,?,,,,,,,,,,,MIL,OGA,,,This military airfield is under control of OGA (Arctic Control Group).  It is located in extreme northern Siberia close to the mainland.  It is an ice airfield that was probably intended as an alternate field for Tu-95 bombers in the Arctic.  It was built in late 1950s as a staging base for Soviet bombers to reach the U.S.,,,,,,,,,,
Ostrov Bolshevik,,at,Ostrov Bolshevik Island,Krasnoyarskiy,RU,5,,,,N,-,78,34.9,N,100,59.7,E,G,965,T,,,,,78.5817,100.9950,23.4,2500,50,T,144,12/30,ABANDONED,,,,,,,,,,,MIL,???,,,"Ostrov Bolshevik was probably constructed around 1960, and due to the runway dimensions is believed to be a planned interceptor airfield covering a remote part of the Soviet Arctic which was abandoned during construction or served limited use. It may have been abandoned during the mid-1960s as the US bomber threat was eclipsed by ICBMs.",,,,,,,,,,
Tempa,,5 km S,Tempa,,RU,4,,,,N,3,75,47.2,N,137,36.8,E,G,3,T97,,,,,75.7867,137.6133,-15.8,750,20,G,19,,GRAV,,,,,,,,,,,CIV,,,,Tempa is a small utility airfield.  Its position is uncertain; a 1997 chart gives a position of 75-46N 137-36E in an alluvial fan; coarse satellite imagery shows a runway-like island in this area.,,,,,,,,,,
Dikson,,5 km W,Dikson,Krasnoyarskiy,RU,7,UODD,,CD,M,5,73,31.0,N,80,22.9,E,C,154,,,,,,73.5167,80.3817,29.4,1500,20,H,83,06/24,CONC,,,,,,,,,,,CIV,,,,Dikson is a major airport that services small transport aircraft.  It is located on a small island across from the town of Dikson.  Central Intelligence Agency reports from 1952 released under the Freedom of Information Act indicate that the USSR was using Dikson as a staging airfield for Tupolev Tu-4 (Bull) aircraft.,,,,,,,,,,
Taymylyr,,2 km NW,Taymylyr,,RU,5,,,,N,1,72,37.3,N,121,51.1,E,G,135,Z,249,T97,,,72.6217,121.8517,-14.7,900,20,G,29,09/27,DIRT,,,,,,,,,,,CIV,,,,"Minor civilian airstrip. DoD products through 1997 suggest a position 5 km NW of village (72-38N 121-48E).  Satellite imagery is coarse and an airfield-like pattern appears here, maybe from abandoned construction in 1960s or 1970s.",,,,,,,,,,
Tiksi/North,Tiksi North,41 km N,Tiksi,,RU,7,,,,A,-,72,2.3,N,128,28.3,E,H,66,O,,,,,72.0383,128.4717,-16.9,3500,60,G,148,17/35,ABANDONED,,,,,,,,,,,MIL,,,,A ghost airfield that was probably a planned bomber diversion or dispersal airfield.  It was probably abandoned around 1960.  Also see Dresba.,,,,,,,,,,
Rogachevo,"Belushya (US), Rogachvo",9 km NE,Belaya,Novaya Zemlya,RU,9,,,,M,5,71,37.0,N,52,28.7,E,H,968,T02,892,?,,,71.6167,52.4783,25.1,2500,40,H,3,16/34,CONC,,,,,,,,,,,MIL,,,,"A major air base, by far the largest on Novaya Zemlya Island.  It is under the control of Arctic Control Group for use as a possible staging base for intercontinental bomber flights.  It is primarily an interceptor base, home to 641 Gv IAP.  It originally flew Yak-28P Firebar interceptors, but upgraded in the 1980s to 32 Su-27 interceptor aircraft.  It also had 2 Mi-8 helicopters in 1991.",,,,,,,,,,
Kharasavey,,Unknown,Unknown,,RU,5,USDH,,C,N,,71,11.2,N,66,56.2,E,O,33,O88,,,,,71.1867,66.9367,28.0,1300,10,O,68,04/22,DIRT,,,,,,,,,,,CIV,,,,"Appears that runway is actually a highway strip; small parking tarmac.  ONC chart gave length of 1500 m, probably erroneous.",,,,,,,,,,
Sabetta,,3 km SE,Sabetta Camp,,RU,3,USDA,,,N,,71,15.1,N,72,6.9,E,G,1,G,,,,,71.2517,72.1150,28.0,800,20,G,149,,DIRT,,,,,,,,,,,CIV,,,,"Position is approximate and location is suspected, probably on beach as a runwaylike clearway is located there.",,,,,,,,,,
Khatanga,,1 km SE,Khatanga,Taymirskaya,RU,7,UOHH,,C,M,6,71,58.7,N,102,29.4,E,D,98,D,,,,,71.9783,102.4900,4.6,2729,48,D,65,06/24,CONC,,,,,,,,,,,CIV,,,,Major airfield servicing medium-sized airliners.  Interceptor aircraft were based here in the 1970s.  Serves as a hub for North Pole tourist expeditions via Sredniy.  Well-paved and medium sized tarmac.   Designated for emergency airfield on cross-polar route.,,,,,,,,,,
Saskylakh,Saskylah,4 km S,Saskylakh,,RU,9,UERS,,D,N,2,71,55.6,N,114,4.8,E,G,200,,,,,,71.9267,114.0800,-9.4,1800,70,G,173,18/36,DIRT,,,,,,,,,,,CIV,,,,"Minor civilian airfield servicing the full range of prop transports and Tu-134.  High-resolution satellite imagery shows a dirt airfield but runway boundaries clearly marked, with a VASI system at both ends.",,,,,,,,,,
Chekurovka,"Chekurovku, Chekurovke",89 km SW,Tiksi,Yakutia,RU,5,,,,a,0,71,3.9,N,127,20.3,E,G,925,T90,814,?,,,71.0650,127.3383,-16.8,3500,50,G,175,01/19,ABANDONED,,,,,,,,,,,MIL,,,,"A remote, large bomber staging base that is now nonexistent.  Accounts exist of Tu-4s landing here with cargo, supplying what appears to be a missile testing range.  Airfield appears to be dismantled on satellite.  Conceivably concrete blocks may have been moved to Tiksi.",,,,,,,,,,
Tiksi West,,9 km NW,Tiksi,Yakutia,RU,,,,,A,,71,41.7,N,128,41.0,E,G,203,T90,,,,,71.6950,128.6833,-17.0,3500,50,G,58,,ABANDONED,,,,,,,,,,,MIL,,,,"This appears to be a strategic airfield that was being developed in the 1950s but was abandoned.  Declassified satellite imagery is poor but some frames from the early 1960s show that the Tiksi North airfield was in use, not Tiksi West.",,,,,,,,,,
Tiksi,Tiksi North,1 km NE,Tiksi,Yakutia,RU,9,UEST,,CD,M,7,71,41.9,N,128,54.2,E,D,30,D,49,T90,,,71.6983,128.9033,-17.0,3001,59,D,8,03/21,CONC,,,,,,,,,,,MIL/CIV,OGA,,,"This is currently a major civilian airport serving the Arctic Ocean port of Tiksi.  However it has had an important military role since it was built in the 1950s, during which time it has been operated by OGA (Arctic Control Group) as a key staging facility for Soviet bombers to reach the U.S.  It is used regularly by Tu-95s in exercises, including one in 1999, in which bombers practice travelling to the Canadian arctic.  It is also home to 24 OTAE.",,,,,,,,,,
Nizhneyansk,,2 km E,Nizhneyansk,Yakutskaya,RU,7,UEBN,,,N,2,71,26.2,N,136,11.4,E,G,20,,,,,,71.4367,136.1900,-16.9,1500,25,A,93,,GRAV,,,,,,,,,,,CIV,,,,Minor airstrip handling general aviation aircraft.  There is some evidence that a concrete runway may have existed here at one time.  Runway is lined with markers.,,,,,,,,,,
Seyakha,,1 km E,Seyakha,,RU,9,USDE,,,N,1,70,9.9,N,72,31.1,E,X,20,Z,,,,,70.1650,72.5183,26.5,400,20,G,108,08/26,CONC,,,,,,,,,,,CIV,,,,Minor airstrip; position uncertain.,,,,,,,,,,
Gyda,,1 km E,Gyda,,RU,3,USDG,,,N,1,70,53.5,N,78,30.2,E,X,30,Z,,,,,70.8917,78.5033,26.0,400,20,G,117,08/26,DIRT,,,,,,,,,,,CIV,,,,Minor airstrip.,,,,,,,,,,
Kular,,,,,RU,4,,,,x,,70,35.0,N,134,30.0,E,X,1027,T90,,,,,70.5833,134.5000,-17.1,1948,67,A,146,16/34,DIRT,,,,,,,,,,,CIV,,,,Airstrip indicated on several aeronautical charts but not identifiable on coarse satellite imagery.,,,,,,,,,,
Ust-Kuyga,,4 km NE,Ust-Kujga,,RU,4,UEBT,,,N,3,70,0.6,N,135,38.7,E,G,98,T90,,,,,70.0100,135.6450,-17.0,1700,80,G,56,,GRAV,,,,,,,,,,,CIV,,,,Civilian aifield; a couple of buildings on site.,,,,,,,,,,
